date,platform,total_fee,total_transport_cost,total_partner_payout
2021-09-03,Bol,90.24,7,144.52
2021-09-04,Ebay,57.12,5,187.17
2021-09-04,Bol,22.05,3.5,4.65
2021-09-05,Amazon,36.97,11.5,18.13
2021-09-06,Bol,59.53,11,33.71
2021-09-06,Bva NL,163.54,7.5,479.48
2021-09-07,Bol,94.31,14,-9.45
2021-09-09,Bva NL,15.77,3.5,7.64
2021-09-10,Bol,108.33,14.5,162.67
2021-09-10,Bva NL,39.18,3.5,74.32
2021-09-11,Bol,27.71,3.5,1.8
2021-09-12,Bol,22.21,3.5,35.36
2021-09-13,Amazon,65.98,11.5,151.73
2021-09-13,Ebay,54.34,5,153.26
2021-09-14,Bol,35.33,4,6.77
2021-09-15,Ebay,19.64,5,16.79
2021-09-15,Amazon,25.45,5,-5.27
2021-09-15,Bol,81.83,7,184.86
2021-09-15,Bva NL,16.48,3.5,-1.26
2021-09-16,Bva NL,29.31,4,-19.28
2021-09-19,Amazon,32.99,5,69.53
2021-09-19,Bva NL,34.66,3.5,67.14
2021-09-20,Bol,161,10.5,529.35
2021-09-21,Bol,72.43,7,180.98
2021-09-22,Bol,102.7,14,138.67
2021-09-23,Ebay,31.89,3.5,40.63
2021-09-23,Bva NL,10.09,3.5,-5.4
2021-09-24,Bol,48.85,7.5,9.53
2021-09-24,Bva NL,28.09,3.5,-23.4
2021-09-26,Bva NL,12.05,3.5,1.99
2021-09-27,Bva NL,65.23,7.5,31.39
2021-09-27,Bol,188.19,14.5,463.84
2021-09-28,Bol,87.13,15,58.22
2021-09-28,Bva NL,71.15,7,49.39
2021-09-29,Bol,59.86,7,178.92
2021-09-30,Bol,233.38,24.5,562.22
2021-09-30,Ebay,67.68,7,164.58
2021-09-30,Amazon,35.09,4,67.88
2021-09-30,Bva NL,68.16,7,30.13
2021-10-01,Amazon,104.81,5,152.04
2021-10-01,Bol,25.31,3.5,7.83
2021-10-03,Bol,16.1,4,10.5
2021-10-03,Bva NL,34.48,3.5,0.63
2021-10-04,Bol,265.8,14.5,952.01
2021-10-05,Ebay,49.52,5,177.16
2021-10-05,Bva NL,58.55,7,67.83
2021-10-05,Bol,18.7,3.5,4.73
2021-10-06,Bva NL,30.05,3.5,-16.01
2021-10-06,Bol,43.69,7,98.8
2021-10-07,Bva NL,37.89,7.5,-5.63
2021-10-09,Bol,51.72,3.5,44.92
2021-10-10,Bol,68.46,11,38.63
2021-10-10,Bva NL,29.31,3.5,-18.78
2021-10-11,Ebay,35.85,5,68.59
2021-10-11,Bol,75.14,7,52.1
2021-10-12,Bol,102.75,4,386.54
2021-10-12,Amazon,20.13,5,15.46
2021-10-13,Bol,75.38,10.5,65.28
2021-10-13,Bva NL,108.82,14,4.73
2021-10-14,Bol,58.27,8,44.07
2021-10-15,Bol,40.77,10.5,52.11
2021-10-15,Amazon,14.11,7,-7.78
2021-10-17,Bol,267.36,21.5,610.66
2021-10-17,Bva NL,17.02,3.5,-6.49
2021-10-18,Bol,15.89,3.5,22.83
2021-10-18,Bva NL,27.31,7,16.01
2021-10-19,Bol,65.04,11,16.3
2021-10-20,Bol,30,4,12.64
2021-10-20,Bva NL,18.69,3.5,7.06
2021-10-21,Bol,63.5,11,120.32
2021-10-23,Bol,19.14,4,24.43
2021-10-24,Bol,36.97,7.5,54.76
2021-10-26,Bol,68.99,7.5,155.64
2021-10-27,Ebay,32.19,5,92.28
2021-10-29,Bol,60.55,7.5,111.66
2021-10-30,Bol,23.75,3.5,8.98
2021-11-01,Ebay,44.47,3.5,121.33
2021-11-01,Bva NL,25.36,3.5,6.24
2021-11-02,Bol,68.08,3.5,121.42
2021-11-03,Bva NL,25.11,3.5,10
2021-11-04,Bol,35.62,3.5,56.85
2021-11-05,Bol,68.78,4,204.11
2021-11-07,Bol,58.98,3.5,31.79
2021-11-08,Bva NL,125.44,7,253.66
2021-11-09,Amazon,30.56,4,22.1
2021-11-09,Bol,81.18,11,42.99
2021-11-11,Bol,138.22,17.5,192.29
2021-11-11,Amazon,33.63,5,45.57
2021-11-12,Bol,24.08,4,21.33
2021-11-12,Ebay,100.14,8.5,142.11
2021-11-13,Bol,166.43,11,434.41
2021-11-14,Ebay,14.24,6.5,6.97
2021-11-14,Bol,64.93,7.5,141.6
2021-11-14,Bva NL,24.18,3.5,40.18
2021-11-15,Amazon,33.31,6.5,45.39
2021-11-15,Bva NL,50.69,3.5,61.64
2021-11-17,Bol,113.34,18,161.17
2021-11-18,Bol,20,3.5,1.56
2021-11-19,Bol,77.03,7.5,110.58
2021-11-20,Amazon,70.31,6.5,72.28
2021-11-20,Bol,92.18,11,50.16
2021-11-21,Bva NL,35.15,4,68.49
2021-11-21,Kaufland,58.21,5,80.92
2021-11-21,Bol,34.04,3.5,52.93
2021-11-22,Bol,195.85,21.5,414.78
2021-11-23,Bol,111.92,14.5,156.03
2021-11-23,Ebay,46.78,5,115.58
2021-11-24,Bol,135.19,18,117.9
2021-11-24,Amazon,37.08,5,28.41
2021-11-24,Bva NL,20.7,3.5,-11.32
2021-11-25,Bol,140.41,18,118.45
2021-11-25,Bva NL,23.81,3.5,3.11
2021-11-26,Bol,450.43,33,1423.57
2021-11-26,Amazon,72.03,13,51.86
2021-11-26,Bva NL,101.79,10.5,97.15
2021-11-28,Amazon,63.13,11.5,71.9
2021-11-28,Bol,206.15,14.5,224.32
2021-11-29,Bol,88.16,10.5,78.77
2021-11-30,Ebay,24.35,6.5,-0.66
2021-11-30,Bol,80.07,7,205.42
2021-12-01,Amazon,32.02,5,31.26
2021-12-01,Bol,84.77,10.5,155.36
2021-12-02,Amazon,45.07,5,21.82
2021-12-02,Bol,29.93,3.5,20.46
2021-12-03,Bol,25.07,4,25.76
2021-12-05,Bol,25.05,3.5,3.38
2021-12-06,Bol,63.21,7,81.48
2021-12-07,Bol,17.99,3.5,28.44
2021-12-09,Bol,87.88,7.5,211.15
2021-12-11,Bol,35.44,8,5.26
2021-12-12,Bol,78.38,3.5,132.62
2021-12-13,Bol,38.51,3.5,59.46
2021-12-14,Bol,78.62,7,228.06
2021-12-16,Bol,27.64,7,43.98
2021-12-16,Bva NL,20.13,3.5,-10.75
2021-12-17,Bol,50.44,3.5,81.02
2021-12-18,Bol,22.19,3.5,5.01
2021-12-20,Bol,21.95,3.5,23.21
2021-12-21,Bol,117.58,8,282.4
2021-12-23,Bol,31.83,3.5,44.47
2021-12-24,Bol,116.06,11,92.01
2021-12-25,Bol,68.28,7,35.97
2021-12-25,Ebay,40.45,3.5,70.71
2021-12-26,Bol,172.27,14,313.49
2021-12-27,Bol,151.11,14,493.48
2021-12-30,Bol,29.72,3.5,45.86
2022-01-04,Bol,60.85,7,16.1
2022-01-10,Bol,51.73,4,133.94
2022-01-11,Bva NL,17.3,3.5,14.3
2022-01-11,Bol,35.29,3.5,78.9
2022-01-12,Bva NL,18.41,3.5,29.57
2022-01-14,Bol,32.39,3.5,58.68
2022-01-15,Bol,22.14,3.5,24.12
2022-01-17,Bva NL,44.58,11,-12.28
2022-01-18,Kaufland,39.56,5,39.66
2022-01-23,Bol,40.6,4,2.67
2022-01-24,Bol,68.35,7.5,150.41
2022-01-25,Bol,174.23,15,441.69
2022-01-26,Bol,100.12,10.5,298.02
2022-01-26,Bva NL,19.92,3.5,11.68
2022-01-29,Amazon,41.26,5,64.61
2022-02-03,Bol,38.54,7,75.73
2022-02-03,Bva NL,21.14,3.5,16.3
2022-02-06,Bol,95.2,4,171.53
2022-02-07,Bva NL,30.27,3.5,24.72
2022-02-08,Bol,135.96,11,295.35
2022-02-08,Amazon,26.89,5,45.19
2022-02-08,Bva NL,15,3.5,13.09
2022-02-09,Bol,54.73,7,38.61
2022-02-18,Bol,55.58,3.5,59.52
2022-02-19,Bol,96.71,15.5,40.94
2022-02-20,Bol,37.52,3.5,58.97
2022-02-21,Bol,87.07,3.5,435.41
2022-02-23,Bol,44.83,3.5,91.6
2022-02-24,Bol,38.09,7,20.67
2022-02-24,Bva NL,23.64,3.5,-0.23
2022-03-01,Bol,47.06,3.5,160.67
